artist_id,artist_genres
0cQuYRSzlItquYxsQKDvVc,"['album rock', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
6U3U5okTlXhIxnpbSAo0BJ,['new age']
6ASGmWCYupa0CXGtsDdYSI,"['funk', 'funktronica', 'pop soul']"
3vbKDsSS70ZX9D2OcvbZmS,"['alternative rock', 'anti-folk', 'permanent wave', 'rock']"
4Df0g6tYaeueFv5YjurYgE,[]
2s6kyMmJZFgPCHXU0QxJLp,['christian hip hop']
3CAhiUHkUYT1mFtVHM9SHA,"['banda', 'corrido', 'musica mexicana', 'musica sonorense', 'norteno', 'sierreno']"
5vvlfKQdn6amTImsjy9Si5,['bow pop']
7voCqDg5xgF1LZFrmbPS7w,"['christian metal', 'melodic metalcore', 'metalcore', 'screamo']"
6POnYCFgbMN07RiEujnqw5,['metal gotico']
0RqtSIYZmd4fiBKVFqyIqD,"['modern rock', 'post-grunge']"
2OSKh2JIKMr66DxByxhwzT,"['musica popular colombiana', 'salsa colombiana', 'tropical']"
5zaT4Qu9otu6z4oyWjRqM2,"['latin arena pop', 'latin pop', 'mexican pop']"
77Gf2HJPvVREGVNEV8goPZ,"['banda', 'musica mexicana', 'norteno']"
2ST5XwWB4uXGKk2NXP8DUI,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']"
3EvzCyNmY3kbUkMawjsndF,['epicore']
0DgSpDOxT5oVdjKYSIMWwf,['duranguense']
3HkJ7rZQaa7bYyjiJD54eL,"['deep comedy', 'new comedy']"
1bwUhKRmEkOZ1wuTnV9XjC,"['brooklyn indie', 'indie garage rock', 'indie rock', 'indie surf', 'popgaze', 'shoegaze']"
5v8jlSmAQfrkTjAlpUfWtu,"['adult standards', 'easy listening', 'lounge']"
2vdi5RS6XV5Qy7J5GgDqgn,"['grupera', 'ranchera', 'tropical']"
7KZP52IpRCNOFQfbJ7VLvK,['norteno']
